Name,Price,Cuisine,Award,FacilitiesAndServices,Description,Combined,City,Country,Continent,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Ban Bo,$$$,Taiwanese contemporary,1 Star MICHELIN,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card","From the chirping of birds and crickets to the custom-made tableware by local artisans, everything in the room conjures up collective memories and heritage. In the same nostalgic vein, a historic map of Taiwan adorns the origami-folded menu. The young chefs turn typical beer snacks, banquet dishes and rustic treats that are close to every Taiwanese’s heart into fine dining gems. Expect to spend a leisurely three hours on the multicourse meal.","25.0813272, 121.5605264",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
ZEA,$$$$,Latin American,1 Star MICHELIN,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,JCB,Mastercard credit card,Visa credit card","The Argentinian owner-chef Joaquin Elizondo Hourbeigt named the restaurant after the Latin word for maize because it is important in both Latam and Taiwanese cuisines. The 12-course tasting menu pays tribute to his cultural and culinary heritage, embodying the passion and vibrancy of Latam food with the finesse of haute cuisine. Most of the ingredients are sourced locally, including those native to South America.","25.03634, 121.5541294",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Ad Astra,$$$$,European Contemporary,1 Star MICHELIN,"Air conditioning,American Express credit card,China UnionPay,Counter dining,Credit card / Debit card accepted,JCB,Mastercard credit card,Visa credit card","An alumnus of several world-renowned restaurants in New York City, the head chef recounts his eclectic journey with a 10- or 14-course tasting menu in omakase style. Dishes are precisely executed with Asian ingredients and a Japanese culinary ethos, especially in the kamameshi course that melds Japanese and European techniques. Also try his non-alcoholic temperance flight with an ingenious mix of Nordic fermented fruits and veggies.","25.0544699, 121.5241219",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Kitcho,$$$$,Sushi,1 Star MICHELIN,"Air conditioning,American Express credit card,China UnionPay,Counter dining,Credit card / Debit card accepted,JCB,Mastercard credit card,Visa credit card","The interior follows Japanese tradition with pale wood, warm lighting and fabric-wrapped panels. Niigata rice is seasoned with three vinegars, including akazu that gives depth and umami. The owner also imports sake and the list changes constantly to match the seasonal ingredients available. This relaxed sushi spot also serves cooked dishes if pre-ordered. Note that it is not related in any way to its namesake in Tokyo.","25.043045, 121.550788",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Danny's Steakhouse,$$$,Steakhouse,1 Star MICHELIN,"Air conditioning,American Express credit card,Car park,China UnionPay,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card","Known as Taiwan’s ‘Godfather of steaks’, the eponymous owner has been cooking meat for over 40 years. Prime cuts of U.S. wet-aged, Japanese and Australian Wagyu beef are grilled to perfection over lychee wood and rested properly before being served. Try USDA Prime ribeye dry-aged in-house for 14 days for its intense flavour and tenderness. Besides the high-ceilinged main dining room, there are several private ones for 4 to 12 people.","25.0825007, 121.552875",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Sushi Akira,$$$$,Sushi,1 Star MICHELIN,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,JCB,Mastercard credit card,Visa credit card","With over 20 years of experience, the sushi chef makes diners feel right at home with his warm and gentle personality. This favourite among locals for over a decade is best known for Edomae sushi made with the chef’s precise blend of red vinegars and the finest fish aged according to his experience. The room with counter seats allows for more privacy without missing any of the action.","25.06614, 121.52486",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Yu Kapo,$$$$,Japanese,1 Star MICHELIN,"Air conditioning,American Express credit card,China UnionPay,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card","This renowned kappo restaurant moved to this address in 2021; it has a minimalist look with light wood and a slate grey palette. It now boasts five private rooms, the largest one seating 20. There is only one omakase menu for lunch and one for dinner, featuring fish from Yilan County and seasonal produce from Japan. The kamameshi course following the main is always a highlight, using ingredients such as unagi or Hiroshima oysters.","25.0539984, 121.5636541",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Tien Hsiang Lo,$$$,Hang Zhou,1 Star MICHELIN,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,JCB,Mastercard credit card,Valet parking,Visa credit card,Wheelchair access","The chef honours Hangzhou traditions with precision and meticulous preparation. His unique creation Fairy Duck soup combines two Hangzhou classics, namely fish ball soup and braised duck with ham. From time to time, he also adds new items made with local ingredients to the menu to keep it fresh. The dining room features a white-grey palette and brushed brass accents. Ask the tea sommelier to pair tea with your food.","25.062841, 121.529965",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Sushi Nomura,$$$$,Sushi,1 Star MICHELIN,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Mastercard credit card,Visa credit card","Good sushi starts with the rice – here it’s a mix of Koshihikari from Kakomachi and Nanatsuboshi from Hokkaido, cooked in Mount Fuji spring water and seasoned with a blend of akazu and regular sushi vinegar. Chef Nomura, who moved to Taiwan years ago, sets the bar high for every detail of the dining experience – the fish is aged properly and sliced skilfully. The marinated silver-skinned fish and the anago are not to be missed.","25.036207, 121.554783",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Golden Formosa,$$,Taiwanese,1 Star MICHELIN,"Air conditioning,China UnionPay,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card,Wheelchair access","In the 1960s, the family started serving heavily seasoned food to go with alcoholic drinks. The third-generation owner still follows the same family recipes from the old days. Their signature deep-fried pork ribs are made with local pork, fried twice to seal in the juices and to crisp up the crust. The tonic soup chicken-in-tripe is a deboned free-range bird slow-cooked for seven hours inside pork tripe with various herbs and condiments.","25.118368, 121.536248",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Longtail,$$$,Innovative,1 Star MICHELIN,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card","This is the brainchild of owner-chef Lam who spent years in some of the world’s best kitchens. The menu changes every three months and features local seasonal produce alongside the finest ingredients from around the world. Specialities include uni on crispy rice, pork chop in sukiyaki sauce, and Kaya French toast with espresso ice cream. Opt for the seasonal Experience menu to experience the complete vision of the chef. Cocktail pairings are also available.","25.0239343, 121.5483519",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Impromptu by Paul Lee,$$$,Innovative,1 Star MICHELIN,"Air conditioning,American Express credit card,Car park,China UnionPay,Counter dining,Credit card / Debit card accepted,JCB,Mastercard credit card,Valet parking,Visa credit card,Wheelchair access","Ask to sit at the counter so you can watch the team in front of your eyes prepare every course in the expansive open kitchen. It serves a creative 10+ course tasting menu that changes from time to time, and uses influences from around the world. One standout is white chocolate bread pudding with nitro foie gras – an intriguing contrast of textures and an unusual combination that works; round it out with their rich and fragrant milk tea blend.","25.054178, 121.524244",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Mountain and Sea House,$$$,Taiwanese,1 Star MICHELIN,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card,Wheelchair access","Complete with a courtyard and a high-ceilinged foyer, both the interior and the food of this luxurious mansion are evocative of 1930s glamour. The must-try roast suckling pig uses only 21-day-old hogs, slow-cooked for 12 hours and roasted until crisp and golden. Another speciality, deboned chicken braised in pork tripe, takes six hours to prepare. Round off with azuki bean pancakes topped with a spun sugar nest: a feast for both the eye and the tastebuds.","25.0380165, 121.5313736",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Mipon,$$$,Taiwanese,1 Star MICHELIN,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,JCB,Mastercard credit card,Valet parking,Visa credit card,Wheelchair access","Hailing from Yilan County, head chef Chen has almost 40 years of experience both at home and abroad, specialising in refined home-style Taiwanese cooking that boasts intricate details and modern twists. His signature dish stewed of Chinese cabbage with fish skin is topped with a fried crunchy garnish made with duck eggs from Yilan; while the honey mustard-glazed ribs exude a hint of tangy fruitiness thanks to black jujube dates in the sauce.","25.080373, 121.553699",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
A Cut,$$$$,Steakhouse,1 Star MICHELIN,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,Diners Club credit card,Interesting wine list,JCB,Mastercard credit card,Valet parking,Visa credit card,Wheelchair access","Diners are escorted past the open kitchen into the airy room drenched in natural light and dotted by pops of blue, perfect for business meeting or social gatherings. Set menus featuring premium beef cuts from the U.S. and Australia are served at lunch and dinner. The signature ""A Cut"" steak, a ribeye cap with even marbling and a tender texture, is the stellar choice. Oenophiles will be thrilled by rare vintages from Bordeaux and Burgundy on offer.","25.0530031, 121.5427565",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
INITA,$$$$,Italian Contemporary,1 Star MICHELIN,"Air conditioning,American Express credit card,China UnionPay,Counter dining,Credit card / Debit card accepted,JCB,Mastercard credit card,Visa credit card","INITA, a portmanteau of Italy, Nippon (Japan) and Taiwan, crafts food that is underscored by Italian technique, jazzed up with Japanese twists and made from local ingredients. The tasting menu reflects the Japanese chef-owner’s career spanning 20 years. A gregarious extrovert and born showman, he presents his dishes theatrically and with a great sense of fun. Don’t miss his duck rice dish Ancora, Ciao Formosa.","25.0460871, 121.5505871",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Ming Fu,$$$,Taiwanese,1 Star MICHELIN,"Air conditioning,Cash only","A bustling spot for home-style food, Ming Fu serves big portions best shared with friends and family. The signature ‘Buddha jumps over the wall’ must be pre-ordered; it’s a amber-coloured soup, simmered for five hours with chicken, pork, abalone, matsutake mushrooms, water chestnuts etc. The mullet tripe with fried garlic is crisp and perfect with drinks. There are only six tables so booking is highly recommended.","25.061628, 121.524176",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Ken Anhe,$$$$,Japanese,1 Star MICHELIN,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,JCB,Mastercard credit card,Visa credit card","The Japanese chef is well known for his insistence on freshness and the skilful juxtaposition of different flavours. Only omakase menus are served and the exact items depend on the catch of the day. The menus feature prominently raw fish and nigiri sushi at lunch, while more cooked kappo dishes are served at night. Precise attention is paid to every detail, down to the blended vinegar in the sushi rice and the kelp bonito stock.","25.03458, 121.55288",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
The Guest House,$$$,"Huaiyang, Sichuan",1 Star MICHELIN,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,JCB,Mastercard credit card,Valet parking,Visa credit card,Wheelchair access","Formerly a members-only dining club, it excites not by its décor, but by shrewdly executed Huaiyang and Sichuan classics, alongside Taiwanese favourites. The new veteran head chef cuts back on oil and salt without sacrificing flavour. The main room is quiet and spacious; private rooms are perfect for banquets. Arrive early if you wish to enjoy a long lunch.","25.0446816, 121.5220238",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Ya Ge,$$$$,Cantonese,1 Star MICHELIN,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,Diners Club credit card,Discover Card,Interesting wine list,JCB,Mastercard credit card,Valet parking,Visa credit card,Wheelchair access","A narrow corridor dotted with Chinese antiques leads to the dining room with a square floor plan and classical styling befitting of the luxury hotel that houses it. The menu, too, is rooted in tradition; the Hong Kong head chef's kitchen demonstrates remarkable precision in signatures like crispy-skin chicken and exquisitely crafted dim sum. To cater to different party sizes, many items can be ordered per piece or in smaller portions.","25.055801, 121.548349",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Sushi Ryu,$$$$,Sushi,1 Star MICHELIN,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Mastercard credit card,Visa credit card","Having had almost 30 years’ experience working in renowned sushi restaurants in Taipei, the owner-chef opened here in 2017. The décor is traditionally Japanese, with solid wood countertops imported from Canada. He insists on shipping the fish from Japan three times a week and his rice is seasoned with three different kinds of vinegar. Only omakase menus are available; the monk fish liver sushi is a standout.","25.0558134, 121.5271858",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
de nuit,$$$$,French Contemporary,1 Star MICHELIN,"Air conditioning,American Express credit card,China UnionPay,Credit card / Debit card accepted,Interesting wine list,JCB,Mastercard credit card,Visa credit card","Christened ‘by night’ in French, the room is aptly furnished in black, grey and blue and punctuated by brass trims and velvet upholstery. The young kitchen team are led by the Hong Kong head chef, who worked in some of the pregtious kitchen in Asia. He mindfully layers textures and flavours in every dish, while respecting the French traditions and seasonality of ingredients. Ask the sommelier to pair your food with wines or teas.","25.0334532, 121.5505992",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
T+T,$$$,Asian Contemporary,1 Star MICHELIN,"Air conditioning,American Express credit card,China UnionPay,Counter dining,Credit card / Debit card accepted,Interesting wine list,JCB,Mastercard credit card,Visa credit card","The modern and simple design of T+T exudes relaxed chic, à la French bistronomy. The name is an abbreviation of ‘tapas tasting’, but rather than Spanish in origin, the small plates show strong Asian roots. Miso, ginseng, Dang Gui, Shaoxing wine and red bean cake are juxtaposed ingeniously to create gustatory nuances that pleasantly surprise. The 9-course tasting menu offers great value; the eclectic wine list carries some interesting choices.","25.0548655, 121.5506823",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Shin Yeh Taiwanese Signature,$$,Taiwanese,1 Star MICHELIN,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,Mastercard credit card,Visa credit card,Wheelchair access","The encyclopaedic proportions of the menu may be a bit daunting, but the familiar and much-loved dishes of the group’s flagship outlets feature prominently. This branch serves the brand’s greatest hits from the past 40 years, such as the 70s classic, fish-shaped minced shrimp toast, alongside new creations like almond tofu dessert with peanut mochi and pu’er tea. Also check out the hidden items, previously only available to those in the know.","25.0803851, 121.5593471",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Fujin Tree Taiwanese Cuisine & Champagne (Songshan),$$,Taiwanese,1 Star MICHELIN,"Air conditioning,American Express credit card,China UnionPay,Credit card / Debit card accepted,JCB,Mastercard credit card,Terrace,Visa credit card","Tainan cuisine is known for its sugary taste profile; the Tainanese founder thinks outside the box to reinterpret the cooking of his hometown. The end product always goes well with champagne. The menu changes regularly to reflect what's in season, while specialities such as stir-fried leafy greens with wax apple, and scrambled eggs with tomato and lobster never fail to pleasantly surprise. Clever use of plant art gives the room a greenhouse vibe.","25.0565712, 121.5528189",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Holt,$$$$,European Contemporary,1 Star MICHELIN,"Air conditioning,American Express credit card,China UnionPay,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card","The show kitchen takes centre stage in a minimalistic room sporting warm lighting and a centrepiece made of dried flowers and branches. Having honed his skills in some prestigious French and Japanese establishments and thanks to his time spent in Taiwan, the Canadian head chef excels in preparing local ingredients with classic European techniques and subtle Japanese twists, delivering refined flavours and elegant plating. Online bookings mandatory.","25.0590094, 121.543527",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Sushiyoshi,$$$$,Japanese,1 Star MICHELIN,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,JCB,Mastercard credit card,Visa credit card","Helmed by Chef Hashimoto, the third overseas outpost of the famous Osaka-based sushiya offers omakase menus that meld Edomae sushi traditions and creative use of Western techniques and ingredients, such as truffle and caviar. While nigiri sushi dominates the lunch menus, the higher priced dinner menu is where the chef’s culinary vision shines in full glory – each course is crafted like art pieces presented in a fun-filled manner.","25.0402806, 121.5537337",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Paris 1930 de Hideki Takayama,$$$$,French Contemporary,1 Star MICHELIN,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,Interesting wine list,JCB,Mastercard credit card,Valet parking,Visa credit card,Wheelchair access","The pristine interior exudes understated elegance. Expect a local take on executive chef Takayama-san's refined French-Japanese culinary vision. The head chef, an avid tea lover, cleverly incorporates local teas into his cooking – it features in his sauces, amuse-bouches, dinner rolls and his version of Takayama's signature seasonal vegetables with sushi rice. The experience involves all the senses – perfect for romantic dates and special occasions.","25.0628, 121.52997",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Yuan Wei,$$,Taiwanese,Bib Gourmand,"Air conditioning,Cash only","Tucked down a small alley behind the train station and without a proper sign, this eatery with over 70 years of history and just four tables is easy to miss. Even the interior feels more like a wood carving store than a restaurant. The menu is easy to navigate, with only 20-odd choices. Stir-fries are the must-try items – Yuan Wei fried rice, and pork jowl, characterised by remarkable wok-hei. Cash only and expect a long wait at peak hours.","25.0507831, 121.5141359",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Mao Yuan,$$,Taiwanese,Bib Gourmand,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Visa credit card","Service is friendly and attentive at this home-style joint which has been serving the neighbourhood with old-time local delicacies since 1971. Most diners pick the catch of the day at the seafood stand; otherwise, a chalkboard menu next to it lists all their signature dishes, such as baby oysters with garlic and steamed seasonal fish with preserved winter melon. Portion sizes can be adjusted according to the number in your party.","25.0484126, 121.54258",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Jen Ho Yuan,$$,Yunnanese,Bib Gourmand,"Air conditioning,Cash only","Since 1956, this restaurant has been attracting loyal fans with its authentic Yunnan fare. In 2022, it moved to this new address, with its bright, airy main dining room and private rooms. Rest assured the menu and food stay the same – try the steam pot chicken, the sliced pork cheek cold appetiser, or the green peas in chicken fat. The true showstopper is string beans stuffed with minced shrimp, for the intriguing contrast of textures and layered flavours.","25.03841, 121.5637",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Hang Zhou Xiao Long Bao (Da'an),$$,Dim Sum,Bib Gourmand,"Air conditioning,Cash only",This popular soup dumpling shop was born over 20 years ago after its owners were taught how to make xiao long bao by a Shanghainese chef. Only the freshest pork hind leg cuts are used as the filling and the dumpling ‘skin’ is made simply with flour and water. Their soup-squirting dumplings are also known for their lightness. The red bean pancake uses two kinds of red beans in its silky filling which is complemented by a crisp sesame pastry crust.,"25.034063, 121.523728",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Tsui Feng Yuan,$$,Cantonese,Bib Gourmand,"Air conditioning,Cash only","At this sister restaurant to Peng Family, the chef insists on cooking Cantonese food exactly the way his great uncle did. Lamb belly hot pot is a winter speciality made with Australian lamb, red bean curd, sugarcane and ginger. Equally popular is crispy duck stuffed with mashed taro, steamed egg white custard with scallops and fish head hot pot. Service is friendly and warm and reservations are recommended on holidays.","25.0474845, 121.5498352",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
